GEO_ID,NAME,TOTAL,HISP,WNH,BNH,H,W,B,Race
47157009700,"Census Tract 97, Shelby County, Tennessee",2174,531,504,1026,24.42502299908,23.1830726770929,47.1941122355106,B
47157009901,"Census Tract 99.01, Shelby County, Tennessee",1979,155,594,1156,7.8322385042951,30.0151591712986,58.4133400707428,B
47157009902,"Census Tract 99.02, Shelby County, Tennessee",1650,50,257,1289,3.03030303030303,15.5757575757576,78.1212121212121,B
47157010001,"Census Tract 100.01, Shelby County, Tennessee",2744,62,109,2503,2.25947521865889,3.97230320699708,91.2172011661808,B
47157010002,"Census Tract 100.02, Shelby County, Tennessee",2263,28,165,2010,1.23729562527618,7.29120636323464,88.8201502430402,B
47157010120,"Census Tract 101.20, Shelby County, Tennessee",3535,97,395,2968,2.74398868458274,11.1739745403112,83.960396039604,B
47157010121,"Census Tract 101.21, Shelby County, Tennessee",2150,55,195,1822,2.55813953488372,9.06976744186047,84.7441860465116,B
47157010122,"Census Tract 101.22, Shelby County, Tennessee",1948,28,155,1688,1.43737166324435,7.95687885010267,86.652977412731,B
47157010210,"Census Tract 102.10, Shelby County, Tennessee",3695,67,216,3308,1.81326116373478,5.84573748308525,89.5263870094723,B
47157010220,"Census Tract 102.20, Shelby County, Tennessee",4805,124,454,4077,2.58064516129032,9.44849115504683,84.8491155046826,B
47157010300,"Census Tract 103, Shelby County, Tennessee",821,1,24,776,0.121802679658952,2.92326431181486,94.5188794153471,B
47157010500,"Census Tract 105, Shelby County, Tennessee",1196,188,133,833,15.7190635451505,11.1204013377926,69.6488294314381,B
47157010610,"Census Tract 106.10, Shelby County, Tennessee",4253,743,272,3101,17.470021161533,6.39548553961909,72.9132377145544,B
47157010620,"Census Tract 106.20, Shelby County, Tennessee",2389,452,68,1806,18.9200502302219,2.84637923817497,75.5964838844705,B
47157010630,"Census Tract 106.30, Shelby County, Tennessee",2940,942,98,1843,32.0408163265306,3.33333333333333,62.687074829932,B
47157010710,"Census Tract 107.10, Shelby County, Tennessee",3604,683,347,2381,18.9511653718091,9.62819089900111,66.0654827968923,B
47157010720,"Census Tract 107.20, Shelby County, Tennessee",3002,343,223,2341,11.4257161892072,7.42838107928048,77.981345769487,B
47157010810,"Census Tract 108.10, Shelby County, Tennessee",4235,721,211,3141,17.0247933884298,4.98229043683589,74.1676505312869,B
47157010820,"Census Tract 108.20, Shelby County, Tennessee",3212,254,187,2678,7.90784557907846,5.82191780821918,83.3748443337484,B
47157011010,"Census Tract 110.10, Shelby County, Tennessee",2770,379,451,1886,13.6823104693141,16.2815884476534,68.086642599278,B
47157011020,"Census Tract 110.20, Shelby County, Tennessee",1061,111,62,846,10.4618284637135,5.8435438265787,79.7360980207352,B
47157011100,"Census Tract 111, Shelby County, Tennessee",1092,24,10,1030,2.1978021978022,0.915750915750916,94.3223443223443,B
47157011200,"Census Tract 112, Shelby County, Tennessee",986,6,9,941,0.608519269776876,0.912778904665314,95.4361054766734,B
47157011300,"Census Tract 113, Shelby County, Tennessee",1053,33,178,739,3.13390313390313,16.9040835707502,70.1804368471035,B
47157011401,"Census Tract 114.01, Shelby County, Tennessee",824,7,87,710,0.849514563106796,10.5582524271845,86.1650485436893,B
47157011402,"Census Tract 114.02, Shelby County, Tennessee",3303,633,1091,1467,19.1643960036331,33.0305782621859,44.4141689373297,B
47157011500,"Census Tract 115, Shelby County, Tennessee",1786,18,20,1703,1.00783874580067,1.11982082866741,95.3527435610302,B
47157011600,"Census Tract 116, Shelby County, Tennessee",1596,6,32,1530,0.37593984962406,2.00501253132832,95.8646616541354,B
47157011700,"Census Tract 117, Shelby County, Tennessee",989,2,24,929,0.202224469160768,2.42669362992922,93.9332659251769,B
47157011800,"Census Tract 118, Shelby County, Tennessee",4015,1111,1289,1427,27.6712328767123,32.1046077210461,35.5417185554172,B
47157020101,"Census Tract 201.01, Shelby County, Tennessee",2949,131,1028,1662,4.44218379111563,34.8592743302815,56.3580874872838,B
